Image_ID,Scene_Type,Objects_Detected,Bounding_Boxes,Text_Extracted,Confidence_Score
IMG_037,Fire Scene,fire (color-based),color analysis,— Ef alamy stock photo ee,0.99
IMG_038,Fire Scene,boat,1 regions detected,,0.505
IMG_039,Unknown,fire (color-based),color analysis,,0.41
IMG_040,Unknown,fire (color-based),color analysis,,0.29
IMG_041,Vehicle Accident,"car, person",2 regions detected,,0.637
IMG_042,Fire Scene,clock,1 regions detected,,0.361
IMG_043,Fire Scene,fire (color-based),color analysis,,0.99
IMG_044,Vehicle Accident,car,1 regions detected,,0.307
IMG_045,Fire Scene,fire (color-based),color analysis,,0.5
IMG_046,Fire Scene,fire (color-based),color analysis,,0.99
IMG_047,Fire Scene,fire (color-based),color analysis,,0.99
IMG_048,Fire Scene,fire (color-based),color analysis,,0.86
IMG_049,Fire Scene,fire (color-based),color analysis,,0.99
IMG_050,Vehicle Accident,car,2 regions detected,,0.452
IMG_051,Fire Scene,fire (color-based),color analysis,,0.99
IMG_052,Fire Scene,fire (color-based),color analysis,— UltimateChase.com,0.99
IMG_053,Fire Scene,train,1 regions detected,¥ UltimateChase.com,0.336
IMG_054,Vehicle Accident,"bus, car",2 regions detected,,0.345
IMG_055,Fire Scene,fire (color-based),color analysis,UltimateChase.com,0.99
IMG_056,Fire Scene,fire (color-based),color analysis,,0.99
IMG_057,Fire Scene,fire (color-based),color analysis,UltimateChase.com me eT a ap,0.99
IMG_058,Fire Scene,fire (color-based),color analysis,UltimateChase.com,0.99
IMG_059,Fire Scene,fire (color-based),color analysis,UltimateChase.com,0.99
IMG_060,Fire Scene,fire (color-based),color analysis,UltimateChase.com esi Pe,0.99
IMG_061,Fire Scene,fire (color-based),color analysis,UltimateChase.com all 3 ible ry nea,0.99
IMG_062,Fire Scene,fire (color-based),color analysis,UltimateChase.com,0.99
IMG_063,Fire Scene,fire (color-based),color analysis,UltimateChase.com,0.99
IMG_064,Fire Scene,fire (color-based),color analysis,U itimateChase.com,0.99
IMG_065,Fire Scene,fire (color-based),color analysis,UltimateChase.com,0.86
IMG_066,Fire Scene,fire (color-based),color analysis,,0.99
IMG_067,Fire Scene,fire (color-based),color analysis,UltimateChase.com,0.95
IMG_068,Fire Scene,fire (color-based),color analysis,UltimateChase.com,0.99
IMG_069,Fire Scene,fire (color-based),color analysis,UltimateChase.com,0.99
IMG_070,Fire Scene,fire (color-based),color analysis,= 9 eo @ w) © = Oo 2 o £ 5,0.99
IMG_071,Fire Scene,fire (color-based),color analysis,UltimateChase.com,0.99
IMG_072,Fire Scene,fire (color-based),color analysis,UltimateChase.com,0.99
IMG_073,Fire Scene,fire (color-based),color analysis,UltimateChase.com,0.99
IMG_074,Fire Scene,fire (color-based),color analysis,,0.83
IMG_075,Unknown,fire (color-based),color analysis,ee i ee UltimateChase.com — ON ? a» ) * ri Tf,0.32
IMG_076,Unknown,fire (color-based),color analysis,,0.35
IMG_077,Fire Scene,fire (color-based),color analysis,UltimateChase.com B *,0.68
IMG_078,Fire Scene,fire (color-based),color analysis,: ‘: UltimateChase. com mS | Ss,0.99
IMG_079,Fire Scene,fire (color-based),color analysis,,0.99
IMG_080,Fire Scene,fire (color-based),color analysis,UltimateChase.com i A,0.53
IMG_081,Unknown,fire (color-based),color analysis,,0.0
IMG_082,Unknown,fire (color-based),color analysis,,0.0
IMG_083,Unknown,fire (color-based),color analysis,,0.0
IMG_084,Unknown,fire (color-based),color analysis,,0.0
IMG_085,Unknown,fire (color-based),color analysis,,0.0
IMG_086,Unknown,fire (color-based),color analysis,,0.0
IMG_087,Unknown,fire (color-based),color analysis,,0.0
IMG_088,Unknown,fire (color-based),color analysis,,0.0
IMG_089,Unknown,fire (color-based),color analysis,,0.0
IMG_090,Unknown,fire (color-based),color analysis,,0.0
IMG_091,Unknown,fire (color-based),color analysis,,0.0
IMG_092,Unknown,fire (color-based),color analysis,,0.0
IMG_093,Unknown,fire (color-based),color analysis,,0.0
IMG_094,Unknown,fire (color-based),color analysis,,0.0
IMG_095,Unknown,fire (color-based),color analysis,,0.0
IMG_096,Unknown,fire (color-based),color analysis,,0.0
IMG_097,Unknown,fire (color-based),color analysis,er DPBS LC ceck cece,0.39
IMG_098,Unknown,fire (color-based),color analysis,PEM teb hh ube k ceka,0.35
IMG_099,Unknown,fire (color-based),color analysis,PE bee ak eke,0.32
IMG_100,Unknown,fire (color-based),color analysis,feb ee ek,0.38
IMG_101,Fire Scene,fire (color-based),color analysis,,0.88
IMG_102,Fire Scene,fire (color-based),color analysis,ee. 0 I — q 0 ee ee,0.89
IMG_103,Vehicle Accident,car,2 regions detected,,0.52
IMG_104,Vehicle Accident,car,1 regions detected,,0.295
IMG_105,Unknown,fire (color-based),color analysis,,0.42
IMG_106,Unknown,fire (color-based),color analysis,| hl * Oy Ll,0.25
IMG_107,Unknown,fire (color-based),color analysis,"Cie i ai =r "" \ * Ss ewe the Pd he al al we = hy",0.2
IMG_108,Unknown,fire (color-based),color analysis,BME I ltd Ma ba,0.15
IMG_109,Unknown,fire (color-based),color analysis,Ce eerie Pe de el,0.15
IMG_110,Unknown,fire (color-based),color analysis,ee Peed,0.18
IMG_111,Unknown,fire (color-based),color analysis,Wie ie ie al,0.23
IMG_112,Unknown,fire (color-based),color analysis,ET — Per 68 Dee ee ee,0.27
IMG_113,Vehicle Accident,"bus, truck",2 regions detected,ade ca me ] Fi Y ES 56 te te a |,0.554
IMG_114,Unknown,fire (color-based),color analysis,PCE PREC EL Leo pse nea |,0.23
IMG_115,Vehicle Accident,"bottle, truck",2 regions detected,FERS EL eae,0.315
IMG_116,Fire Scene,"train, bottle",3 regions detected,PUL Cab ee cub ok seer cca | F4 Poe oe — bal,0.352
IMG_117,Vehicle Accident,car,1 regions detected,,0.369
IMG_118,Unknown,fire (color-based),color analysis,,0.13
IMG_119,Unknown,fire (color-based),color analysis,,0.04
IMG_120,Unknown,fire (color-based),color analysis,,0.04
IMG_121,Unknown,fire (color-based),color analysis,o Psa i} i i a ie ; WA esiiesd IB ed Me UltimateChase.com |,0.06
IMG_122,Unknown,fire (color-based),color analysis,,0.33
IMG_123,Unknown,fire (color-based),color analysis,,0.32
IMG_124,Vehicle Accident,car,1 regions detected,,0.429
IMG_125,Unknown,fire (color-based),color analysis,,0.23
IMG_126,Vehicle Accident,car,1 regions detected,,0.344
IMG_127,Unknown,fire (color-based),color analysis,,0.29
IMG_128,Fire Scene,fire (color-based),color analysis,,0.72
IMG_129,Unknown,fire (color-based),color analysis,,0.35
IMG_130,Unknown,fire (color-based),color analysis,,0.25
IMG_131,Unknown,fire (color-based),color analysis,,0.19
IMG_132,Unknown,traffic light,1 regions detected,,0.32
IMG_133,Unknown,fire (color-based),color analysis,,0.23
IMG_134,Unknown,fire (color-based),color analysis,,0.17
IMG_135,Unknown,fire (color-based),color analysis,UltimateChase.com Wake aa a,0.07
IMG_136,Fire Scene,fire (color-based),color analysis,,0.99
IMG_137,Unknown,train,1 regions detected,,0.304
IMG_138,Unknown,fire (color-based),color analysis,,0.39
IMG_139,Fire Scene,fire (color-based),color analysis,,0.53
IMG_140,Fire Scene,fire (color-based),color analysis,,0.79
IMG_141,Fire Scene,fire (color-based),color analysis,"= ti , al i | ) Wi ea ae | UltimateChase.com",0.99
IMG_142,Fire Scene,fire (color-based),color analysis,,0.71
IMG_143,Unknown,fire (color-based),color analysis,,0.44
IMG_144,Fire Scene,stop sign,1 regions detected,,0.605
IMG_145,Unknown,bird,1 regions detected,,0.385
IMG_146,Unknown,bird,1 regions detected,,0.392
IMG_147,Fire Scene,stop sign,1 regions detected,,0.277
IMG_148,Unknown,fire (color-based),color analysis,,0.49
IMG_149,Fire Scene,fire (color-based),color analysis,,0.83
IMG_150,Fire Scene,stop sign,1 regions detected,,0.362
IMG_151,Fire Scene,fire (color-based),color analysis,,0.81
IMG_152,Fire Scene,fire (color-based),color analysis,,0.84
IMG_153,Fire Scene,fire (color-based),color analysis,,0.53
IMG_154,Fire Scene,fire (color-based),color analysis,,0.89
IMG_155,Fire Scene,fire (color-based),color analysis,,0.71
IMG_156,Fire Scene,fire (color-based),color analysis,,0.99
IMG_157,Fire Scene,fire (color-based),color analysis,,0.94
IMG_158,Fire Scene,fire (color-based),color analysis,,0.54
IMG_159,Fire Scene,fire (color-based),color analysis,,0.71
IMG_160,Fire Scene,fire (color-based),color analysis,,0.99
IMG_161,Fire Scene,fire (color-based),color analysis,= Of 4 oF Y © &- “{e) - 2 o VE a,0.99
IMG_162,Fire Scene,train,1 regions detected,WW] UltimateChase.com 5 = ao | A | pie ’ ry,0.311
IMG_163,Fire Scene,fire (color-based),color analysis,,0.99
IMG_164,Fire Scene,train,1 regions detected,,0.354
IMG_165,Fire Scene,fire (color-based),color analysis,,0.89
IMG_166,Fire Scene,train,1 regions detected,,0.272
IMG_167,Fire Scene,train,1 regions detected,,0.346
IMG_168,Fire Scene,fire (color-based),color analysis,,0.99
IMG_169,Fire Scene,train,1 regions detected,,0.333
IMG_170,Assault / Violence,"train, person",2 regions detected,,0.445
IMG_171,Assault / Violence,"train, person",3 regions detected,,0.656
IMG_172,Assault / Violence,"oven, person",2 regions detected,,0.599
IMG_173,Assault / Violence,"oven, refrigerator, person",3 regions detected,,0.555
IMG_174,Assault / Violence,person,1 regions detected,,0.687
IMG_175,Assault / Violence,person,1 regions detected,,0.741
IMG_176,Fire Scene,refrigerator,1 regions detected,,0.645
IMG_177,Assault / Violence,"refrigerator, person, microwave",3 regions detected,,0.73
IMG_178,Fire Scene,refrigerator,1 regions detected,,0.309
IMG_179,Fire Scene,fire (color-based),color analysis,,0.74
IMG_180,Fire Scene,fire (color-based),color analysis,,0.73
IMG_181,Fire Scene,fire (color-based),color analysis,,0.99
IMG_182,Assault / Violence,"refrigerator, person",2 regions detected,,0.524
IMG_183,Fire Scene,"refrigerator, microwave",2 regions detected,,0.601
IMG_184,Fire Scene,fire (color-based),color analysis,,0.85
IMG_185,Fire Scene,fire (color-based),color analysis,,0.82
IMG_186,Fire Scene,fire (color-based),color analysis,,0.84
IMG_187,Fire Scene,fire (color-based),color analysis,,0.98
IMG_188,Fire Scene,fire (color-based),color analysis,,0.88
IMG_189,Fire Scene,fire (color-based),color analysis,,0.99
IMG_190,Fire Scene,fire (color-based),color analysis,,0.92
IMG_191,Fire Scene,fire (color-based),color analysis,,0.74
IMG_192,Unknown,fire (color-based),color analysis,,0.29
IMG_193,Unknown,fire (color-based),color analysis,,0.44
IMG_194,Fire Scene,fire (color-based),color analysis,,0.99
IMG_195,Fire Scene,fire (color-based),color analysis,,0.99
IMG_196,Fire Scene,fire (color-based),color analysis,,0.99
IMG_197,Fire Scene,fire (color-based),color analysis,,0.99
IMG_198,Fire Scene,train,1 regions detected,,0.365
IMG_199,Fire Scene,train,1 regions detected,,0.389
IMG_200,Fire Scene,fire (color-based),color analysis,,0.99
IMG_201,Fire Scene,fire (color-based),color analysis,,0.99
IMG_202,Fire Scene,fire (color-based),color analysis,,0.99
IMG_203,Fire Scene,fire (color-based),color analysis,,0.99
IMG_204,Fire Scene,fire (color-based),color analysis,,0.99
IMG_205,Fire Scene,fire (color-based),color analysis,,0.99
IMG_206,Fire Scene,fire (color-based),color analysis,,0.8
IMG_207,Fire Scene,fire (color-based),color analysis,,0.71
IMG_208,Fire Scene,fire (color-based),color analysis,,0.74
IMG_209,Fire Scene,fire (color-based),color analysis,,0.71
IMG_210,Fire Scene,fire (color-based),color analysis,,0.75
IMG_211,Fire Scene,fire (color-based),color analysis,,0.76
IMG_212,Unknown,fire (color-based),color analysis,,0.46
IMG_213,Unknown,fire (color-based),color analysis,,0.47
IMG_214,Fire Scene,bird,3 regions detected,,0.551
IMG_215,Assault / Violence,person,1 regions detected,,0.437
IMG_216,Unknown,fire (color-based),color analysis,,0.16
IMG_217,Fire Scene,bottle,1 regions detected,,0.42
IMG_218,Unknown,fire (color-based),color analysis,,0.24
IMG_219,Unknown,umbrella,1 regions detected,,0.326
IMG_220,Unknown,cat,1 regions detected,,0.278
IMG_221,Unknown,fire (color-based),color analysis,,0.06
IMG_222,Unknown,fire (color-based),color analysis,,0.24
IMG_223,Vehicle Accident,car,1 regions detected,,0.476
IMG_224,Vehicle Accident,"bus, car, truck",4 regions detected,,0.644
IMG_225,Vehicle Accident,"train, car, person",7 regions detected,,0.852
IMG_226,Unknown,fire (color-based),color analysis,,0.1
IMG_227,Assault / Violence,person,1 regions detected,| 1 + mc,0.298
IMG_228,Fire Scene,fire (color-based),color analysis,,0.99
IMG_229,Unknown,fire (color-based),color analysis,,0.12
IMG_230,Fire Scene,fire (color-based),color analysis,,0.99
IMG_231,Unknown,fire (color-based),color analysis,,0.01
IMG_232,Unknown,fire (color-based),color analysis,,0.08
IMG_233,Fire Scene,fire (color-based),color analysis,,0.99
IMG_234,Unknown,fire (color-based),color analysis,,0.0
IMG_235,Vehicle Accident,truck,1 regions detected,,0.309
IMG_236,Fire Scene,fire (color-based),color analysis,,0.68
IMG_237,Unknown,fire (color-based),color analysis,,0.32
IMG_238,Unknown,fire (color-based),color analysis,,0.11
IMG_239,Fire Scene,fire (color-based),color analysis,,0.83
IMG_240,Vehicle Accident,"car, truck",2 regions detected,,0.357
IMG_241,Vehicle Accident,car,2 regions detected,,0.491
IMG_242,Vehicle Accident,"car, truck",2 regions detected,,0.815
IMG_243,Fire Scene,fire (color-based),color analysis,,0.76
IMG_244,Vehicle Accident,"car, person, motorcycle",5 regions detected,,0.864
IMG_245,Fire Scene,fire (color-based),color analysis,,0.99
IMG_246,Fire Scene,fire (color-based),color analysis,,0.97
IMG_247,Assault / Violence,"person, fire hydrant",2 regions detected,,0.461
IMG_248,Vehicle Accident,"car, person, truck",3 regions detected,,0.833
IMG_249,Assault / Violence,person,4 regions detected,,0.448
IMG_250,Unknown,fire (color-based),color analysis,SU eruniula?,0.16
IMG_251,Fire Scene,fire (color-based),color analysis,,0.99
IMG_252,Fire Scene,fire (color-based),color analysis,,0.7
IMG_253,Unknown,fire (color-based),color analysis,,0.04
IMG_254,Vehicle Accident,"car, tv",2 regions detected,,0.33
IMG_255,Unknown,fire (color-based),color analysis,,0.01
IMG_256,Unknown,fire (color-based),color analysis,,0.06
IMG_257,Unknown,fire (color-based),color analysis,,0.28
IMG_258,Unknown,fire (color-based),color analysis,,0.17
IMG_259,Vehicle Accident,"bus, truck",2 regions detected,,0.63
IMG_260,Vehicle Accident,car,1 regions detected,,0.501
IMG_261,Fire Scene,fire (color-based),color analysis,aa ii,0.99
IMG_262,Unknown,fire (color-based),color analysis,,0.46
IMG_263,Fire Scene,fire (color-based),color analysis,,0.99
IMG_264,Fire Scene,fire (color-based),color analysis,,0.51
IMG_265,Unknown,fire (color-based),color analysis,,0.05
IMG_266,Unknown,fire (color-based),color analysis,,0.02
IMG_267,Vehicle Accident,car,3 regions detected,,0.472
IMG_268,Vehicle Accident,car,1 regions detected,,0.497
IMG_269,Vehicle Accident,"car, person",3 regions detected,,0.842
IMG_270,Vehicle Accident,"car, person",5 regions detected,,0.783
IMG_271,Assault / Violence,"chair, person, couch",4 regions detected,,0.83
IMG_272,Assault / Violence,"dining table, person, couch, tv, chair",6 regions detected,,0.804
IMG_273,Assault / Violence,"chair, dining table, person, couch",5 regions detected,,0.866
IMG_274,Assault / Violence,"chair, bench, person, couch",5 regions detected,,0.851
IMG_275,Assault / Violence,"chair, dining table, person, couch",5 regions detected,,0.827
IMG_276,Assault / Violence,"chair, dining table, person, couch",5 regions detected,,0.819
IMG_277,Assault / Violence,"chair, person, couch",4 regions detected,,0.779
IMG_278,Unknown,fire (color-based),color analysis,,0.0
IMG_279,Unknown,fire (color-based),color analysis,,0.07
IMG_280,Vehicle Accident,car,1 regions detected,,0.275
IMG_281,Unknown,fire (color-based),color analysis,,0.29
IMG_282,Vehicle Accident,"car, airplane",2 regions detected,,0.299
IMG_283,Vehicle Accident,car,1 regions detected,,0.427
IMG_284,Unknown,fire (color-based),color analysis,,0.07
IMG_285,Unknown,fire (color-based),color analysis,,0.07
IMG_286,Unknown,fire (color-based),color analysis,,0.11
IMG_287,Unknown,fire (color-based),color analysis,,0.19
IMG_288,Assault / Violence,"cell phone, person",3 regions detected,,0.748
IMG_289,Assault / Violence,"cell phone, person",3 regions detected,,0.479
IMG_290,Assault / Violence,"cell phone, scissors, person, book",5 regions detected,,0.816
IMG_291,Assault / Violence,person,1 regions detected,,0.435
IMG_292,Assault / Violence,"cell phone, person, book",5 regions detected,,0.691
IMG_293,Assault / Violence,"bench, person, donut",5 regions detected,,0.726
IMG_294,Assault / Violence,"person, donut",3 regions detected,,0.69
IMG_295,Assault / Violence,"person, donut",4 regions detected,,0.646
IMG_296,Assault / Violence,"dining table, person, donut",5 regions detected,,0.755
IMG_297,Assault / Violence,"person, donut",4 regions detected,,0.807
IMG_298,Assault / Violence,"person, donut",4 regions detected,,0.791
IMG_299,Assault / Violence,person,1 regions detected,,0.599
IMG_300,Assault / Violence,person,1 regions detected,,0.658
IMG_301,Assault / Violence,person,1 regions detected,,0.743
IMG_302,Assault / Violence,person,1 regions detected,,0.475
IMG_303,Assault / Violence,person,1 regions detected,,0.649
IMG_304,Assault / Violence,person,1 regions detected,,0.724
IMG_305,Assault / Violence,"cell phone, person",2 regions detected,,0.628
IMG_306,Unknown,fire (color-based),color analysis,,0.4
IMG_307,Unknown,dining table,1 regions detected,,0.309
IMG_308,Fire Scene,"airplane, surfboard",3 regions detected,,0.803
IMG_309,Assault / Violence,person,1 regions detected,,0.563
IMG_310,Vehicle Accident,"car, person",2 regions detected,,0.727
IMG_311,Fire Scene,fire (color-based),color analysis,,0.99
IMG_312,Assault / Violence,"toothbrush, person",3 regions detected,,0.603
IMG_313,Assault / Violence,"chair, toothbrush, person",3 regions detected,,0.81
IMG_314,Assault / Violence,"chair, person",2 regions detected,,0.728
IMG_315,Assault / Violence,person,1 regions detected,,0.643
IMG_316,Assault / Violence,person,2 regions detected,,0.71
IMG_317,Assault / Violence,"cat, person",4 regions detected,,0.569
IMG_318,Assault / Violence,"refrigerator, person, cat, chair, bottle",6 regions detected,,0.547
IMG_319,Unknown,train,1 regions detected,,0.337
IMG_320,Fire Scene,fire (color-based),color analysis,,0.99
IMG_321,Fire Scene,fire (color-based),color analysis,,0.62
IMG_322,Fire Scene,"potted plant, dining table, couch",3 regions detected,,0.692
IMG_323,Fire Scene,fire (color-based),color analysis,,0.99
IMG_324,Fire Scene,fire (color-based),color analysis,,0.99
IMG_325,Fire Scene,fire (color-based),color analysis,,0.99
IMG_326,Fire Scene,fire (color-based),color analysis,,0.99
IMG_327,Vehicle Accident,car,1 regions detected,,0.379
IMG_328,Fire Scene,fire (color-based),color analysis,,0.99
IMG_329,Assault / Violence,"person, book",3 regions detected,,0.792
IMG_330,Fire Scene,fire (color-based),color analysis,,0.99
IMG_331,Fire Scene,fire (color-based),color analysis,,0.99
IMG_332,Fire Scene,"dining table, cake",2 regions detected,,0.321
IMG_333,Fire Scene,fire (color-based),color analysis,,0.99
IMG_334,Assault / Violence,person,1 regions detected,,0.638
IMG_335,Fire Scene,fire (color-based),color analysis,,0.99
IMG_336,Fire Scene,fire (color-based),color analysis,,0.99
IMG_337,Fire Scene,fire (color-based),color analysis,,0.99
IMG_338,Assault / Violence,person,1 regions detected,,0.33
IMG_339,Fire Scene,fire (color-based),color analysis,,0.99
IMG_340,Fire Scene,fire (color-based),color analysis,,0.97
IMG_341,Assault / Violence,person,1 regions detected,,0.713
IMG_342,Fire Scene,fire (color-based),color analysis,,0.72
IMG_343,Fire Scene,clock,1 regions detected,,0.426
IMG_344,Fire Scene,fire (color-based),color analysis,,0.99
IMG_345,Fire Scene,fire (color-based),color analysis,,0.99
IMG_346,Fire Scene,fire (color-based),color analysis,,0.99
IMG_347,Fire Scene,fire (color-based),color analysis,,0.99
IMG_348,Assault / Violence,person,1 regions detected,,0.521
IMG_349,Fire Scene,fire (color-based),color analysis,,0.99
IMG_350,Unknown,fire (color-based),color analysis,,0.01
IMG_351,Unknown,fire (color-based),color analysis,,0.0
IMG_352,Unknown,fire (color-based),color analysis,,0.04
IMG_353,Vehicle Accident,car,1 regions detected,,0.493
IMG_354,Unknown,fire (color-based),color analysis,,0.3
IMG_355,Fire Scene,bench,1 regions detected,,0.669
IMG_356,Fire Scene,fire (color-based),color analysis,,0.99
IMG_357,Fire Scene,fire (color-based),color analysis,,0.99
IMG_358,Fire Scene,fire (color-based),color analysis,,0.59
IMG_359,Unknown,fire (color-based),color analysis,,0.44
IMG_360,Unknown,fire (color-based),color analysis,,0.22
IMG_361,Fire Scene,bottle,1 regions detected,,0.309
IMG_362,Fire Scene,fire (color-based),color analysis,,0.69
IMG_363,Assault / Violence,person,1 regions detected,,0.31
IMG_364,Fire Scene,fire (color-based),color analysis,,0.99
IMG_365,Fire Scene,fire (color-based),color analysis,,0.99
IMG_366,Fire Scene,fire (color-based),color analysis,,0.99
IMG_367,Fire Scene,chair,1 regions detected,,0.485
IMG_368,Assault / Violence,person,1 regions detected,,0.328
IMG_369,Vehicle Accident,bus,1 regions detected,,0.533
IMG_370,Fire Scene,fire (color-based),color analysis,,0.99
IMG_371,Vehicle Accident,"bus, truck",2 regions detected,,0.339
IMG_372,Fire Scene,fire (color-based),color analysis,,0.99
IMG_373,Fire Scene,fire (color-based),color analysis,,0.99
IMG_374,Fire Scene,fire (color-based),color analysis,,0.99
IMG_375,Fire Scene,fire (color-based),color analysis,,0.57
IMG_376,Fire Scene,fire (color-based),color analysis,,0.99
IMG_377,Fire Scene,fire (color-based),color analysis,,0.99
IMG_378,Vehicle Accident,"car, truck",8 regions detected,,0.737
IMG_379,Unknown,fire (color-based),color analysis,,0.39
IMG_380,Fire Scene,fire (color-based),color analysis,,0.99
IMG_381,Unknown,fire (color-based),color analysis,,0.0
IMG_382,Unknown,fire (color-based),color analysis,,0.0
IMG_383,Unknown,fire (color-based),color analysis,,0.0
IMG_384,Assault / Violence,person,1 regions detected,,0.277
IMG_385,Unknown,fire (color-based),color analysis,,0.0
IMG_386,Unknown,fire (color-based),color analysis,,0.0
IMG_387,Unknown,fire (color-based),color analysis,,0.0
IMG_388,Unknown,fire (color-based),color analysis,,0.0
IMG_389,Unknown,fire (color-based),color analysis,,0.01
IMG_390,Fire Scene,wine glass,1 regions detected,,0.354
IMG_391,Fire Scene,fire (color-based),color analysis,,0.99
IMG_392,Fire Scene,fire (color-based),color analysis,,0.99
IMG_393,Fire Scene,fire (color-based),color analysis,,0.99
IMG_394,Assault / Violence,knife,1 regions detected,,0.37
IMG_395,Fire Scene,vase,1 regions detected,,0.51
IMG_396,Fire Scene,fire (color-based),color analysis,,0.99
IMG_397,Fire Scene,fire (color-based),color analysis,,0.99
IMG_398,Assault / Violence,knife,1 regions detected,,0.3
IMG_399,Fire Scene,"carrot, tie",2 regions detected,,0.493
IMG_400,Fire Scene,fire (color-based),color analysis,,0.99
IMG_401,Fire Scene,fire (color-based),color analysis,,0.99
IMG_402,Unknown,fire (color-based),color analysis,,0.13
IMG_403,Assault / Violence,"tie, person",2 regions detected,,0.309
IMG_404,Unknown,fire (color-based),color analysis,,0.13
IMG_405,Unknown,fire (color-based),color analysis,,0.15
IMG_406,Unknown,tie,1 regions detected,,0.327
IMG_407,Unknown,fire (color-based),color analysis,,0.15
IMG_408,Unknown,fire (color-based),color analysis,,0.14
IMG_409,Unknown,tie,1 regions detected,,0.316
IMG_410,Assault / Violence,"suitcase, refrigerator, person",3 regions detected,,0.33
IMG_411,Unknown,fire (color-based),color analysis,,0.07
IMG_412,Unknown,fire (color-based),color analysis,,0.0
IMG_413,Unknown,fire (color-based),color analysis,,0.15
IMG_414,Unknown,fire (color-based),color analysis,,0.07
IMG_415,Unknown,fire (color-based),color analysis,,0.0
IMG_416,Unknown,fire (color-based),color analysis,,0.0
IMG_417,Unknown,fire (color-based),color analysis,,0.01
IMG_418,Unknown,fire (color-based),color analysis,,0.0
IMG_419,Unknown,fire (color-based),color analysis,,0.01
IMG_420,Unknown,fire (color-based),color analysis,,0.01
IMG_421,Unknown,fire (color-based),color analysis,,0.0
IMG_422,Unknown,fire (color-based),color analysis,,0.0
IMG_423,Assault / Violence,"carrot, knife",3 regions detected,,0.59
IMG_424,Unknown,bottle,3 regions detected,,0.34
IMG_425,Unknown,"carrot, bowl",4 regions detected,,0.397
IMG_426,Unknown,"carrot, dining table",4 regions detected,,0.414
IMG_427,Unknown,"carrot, vase",3 regions detected,,0.403
IMG_428,Unknown,fire (color-based),color analysis,,0.34
IMG_429,Unknown,carrot,3 regions detected,,0.45
IMG_430,Fire Scene,carrot,1 regions detected,,0.307
IMG_431,Unknown,fire (color-based),color analysis,,0.26
IMG_432,Unknown,umbrella,1 regions detected,,0.374
IMG_433,Unknown,fire (color-based),color analysis,,0.08
IMG_434,Unknown,fire (color-based),color analysis,,0.05
IMG_435,Unknown,broccoli,1 regions detected,,0.485
IMG_436,Unknown,fire (color-based),color analysis,,0.05
IMG_437,Unknown,fire (color-based),color analysis,,0.03
IMG_438,Unknown,broccoli,1 regions detected,,0.285
IMG_439,Unknown,umbrella,1 regions detected,,0.418
IMG_440,Unknown,umbrella,1 regions detected,,0.259
IMG_441,Assault / Violence,"spoon, person",2 regions detected,,0.697
IMG_442,Assault / Violence,"broccoli, person",3 regions detected,,0.608
IMG_443,Assault / Violence,person,1 regions detected,,0.637
